X,Y,Z,tempo
692812.6263,9272328.301,-3.9,12:02:02
692814.7332,9272327.556,-3.9,12:02:03
692815.1525,9272326.816,-3.9,12:02:04
692815.9932,9272325.917,-3.9,12:02:05
692816.8337,9272324.964,-3.9,12:02:06
692818.0962,9272324.063,-3.9,12:02:07
692818.0962,9272324.063,-3.9,12:02:08
692820.6166,9272320.89,-3.9,12:02:09
692822.299,9272319.408,-3.9,12:02:10
692823.9809,9272317.767,-3.9,12:02:11
692825.6633,9272316.285,-4,12:02:12
692827.767,9272314.643,-4,12:02:13
692828.6049,9272312.952,-4,12:02:14
692829.8649,9272311.313,-4,12:02:15
692831.1247,9272309.621,-4,12:02:16
692831.1247,9272309.621,-4,12:02:17
692835.3308,9272305.915,-4,12:02:18
692836.172,9272305.173,-4,12:02:19
692837.4345,9272304.272,-4,12:02:20
692838.6969,9272303.319,-3.9,12:02:21
692839.5368,9272302.208,-3.9,12:02:22
692840.7987,9272301.097,-4,12:02:23
692841.6386,9272299.986,-4,12:02:24
692842.4798,9272299.245,-3.9,12:02:25
692845.0054,9272297.601,-3.9,12:02:26
692846.2693,9272297.07,-3.8,12:02:27
692847.5329,9272296.485,-3.8,12:02:28
692848.3754,9272296.113,-4,12:02:29
692849.6393,9272295.581,-4,12:02:30
692850.9024,9272294.838,-3.8,12:02:31
692851.7436,9272294.097,-3.8,12:02:32
692853.0041,9272292.616,-3.8,12:02:33
692853.0041,9272292.616,-3.8,12:02:34
692855.1051,9272290.183,-3.8,12:02:35
692856.3677,9272289.282,-3.8,12:02:36
692857.2076,9272288.172,-3.8,12:02:37
692858.472,9272287.798,-3.6,12:02:38
692858.8913,9272287.058,-3.6,12:02:39
692859.7318,9272286.106,-3.4,12:02:40
692860.1498,9272284.997,-3.4,12:02:41
692860.1467,9272284.101,-3.4,12:02:42
692860.1467,9272284.101,-3.4,12:02:43
692860.9828,9272281.883,-3.4,12:02:44
692861.4013,9272280.932,-3.4,12:02:45
692862.2451,9272280.929,-3.3,12:02:46
692863.0845,9272279.661,-3.3,12:02:47
692863.502,9272278.393,-3.3,12:02:48
692864.3393,9272276.545,-3.3,12:02:49
692864.7586,9272275.805,-3.3,12:02:50
692865.1759,9272274.485,-3.3,12:02:51
692866.4313,9272271.527,-3.3,12:02:52
692866.8488,9272270.26,-3.3,12:02:53
692867.2648,9272268.571,-3.3,12:02:54
692868.1047,9272267.461,-3.3,12:02:55
692868.5214,9272265.983,-3.3,12:02:56
692868.9395,9272264.874,-3,12:02:57
692869.3582,9272263.976,-3,12:02:58
692869.7788,9272263.605,-2.4,12:02:59
692869.7788,9272263.605,-2.4,12:03:00
692869.7691,9272260.81,-2,12:03:01
692869.7652,9272259.703,-2,12:03:02
692869.759,9272257.91,-1.8,12:03:03
692870.1762,9272256.59,-1.8,12:03:04
692870.5956,9272255.85,-1.6,12:03:05
692870.1698,9272254.744,-1.6,12:03:06
692870.1654,9272253.479,-1.5,12:03:07
692870.5834,9272252.37,-1.5,12:03:08
692870.9968,9272249.942,-1.5,12:03:09
692869.7273,9272248.839,-1.3,12:03:10
692869.3002,9272247.364,-1.3,12:03:11
692868.452,9272246.101,-1.4,12:03:12
692867.6037,9272244.786,-1.4,12:03:13
692866.7555,9272243.523,-1.3,12:03:14
692866.329,9272242.206,-1.3,12:03:15
692865.0576,9272240.576,-1.4,12:03:16
692865.0576,9272240.576,-1.4,12:03:17
692862.9378,9272237.63,-1.3,12:03:18
692862.5133,9272236.893,-1.3,12:03:19
692861.2438,9272235.79,-1.5,12:03:20
692860.3974,9272235.055,-1.5,12:03:21
692859.5511,9272234.32,-1.7,12:03:22
692858.2815,9272233.217,-1.7,12:03:23
692857.0132,9272232.483,-1.7,12:03:24
692855.7444,9272231.591,-1.8,12:03:25
692855.7444,9272231.591,-1.8,12:03:26
692850.6779,9272230.501,-2.2,12:03:27
692848.9903,9272230.507,-2.2,12:03:28
692847.7252,9272230.669,-2.8,12:03:29
692845.617,9272231.046,-2.8,12:03:30
692843.9327,9272232.001,-3,12:03:31
692842.249,9272233.114,-3,12:03:32
692840.1427,9272234.018,-3.1,12:03:33
692838.0378,9272235.344,-3.1,12:03:34
692834.2503,9272238.099,-3.1,12:03:35
692832.1447,9272239.214,-3.1,12:03:36
692830.4623,9272240.697,-3.1,12:03:37
692828.7812,9272242.548,-3.1,12:03:38
692826.6769,9272244.032,-3.2,12:03:39
692824.5725,9272245.516,-3.2,12:03:40
692822.4675,9272246.789,-3.2,12:03:41
692820.7845,9272248.114,-3.3,12:03:42
692820.7845,9272248.114,-3.3,12:03:43
692815.3141,9272252.193,-3.3,12:03:44
692813.6309,9272253.465,-3.3,12:03:45
692811.5279,9272255.318,-3.6,12:03:46
692809.8442,9272256.431,-3.6,12:03:47
692808.1599,9272257.387,-3.7,12:03:48
692806.4729,9272257.551,-3.7,12:03:49
692804.7866,9272257.926,-3.7,12:03:50
692802.681,9272259.041,-3.7,12:03:51
692799.7322,9272260.316,-4,12:03:52
692797.6266,9272261.431,-4,12:03:53
692795.521,9272262.546,-4.1,12:03:54
692793.4141,9272263.292,-4.1,12:03:55
692791.3072,9272264.037,-4,12:03:56
692789.1997,9272264.625,-4,12:03:57
692786.6715,9272265.53,-4,12:03:58
692784.1447,9272266.857,-4,12:03:59
692784.1447,9272266.857,-4,12:04:00
692778.6666,9272268.722,-4,12:04:01
692776.1383,9272269.628,-4,12:04:02
692773.609,9272270.217,-3.9,12:04:03
692771.5026,9272271.12,-3.9,12:04:04
692768.9733,9272271.709,-3.8,12:04:05
692767.2883,9272272.454,-3.8,12:04:06
692764.7595,9272273.201,-3.9,12:04:07
692762.2295,9272273.579,-3.9,12:04:08
692762.2295,9272273.579,-3.9,12:04:09
692755.9062,9272275.077,-3.9,12:04:10
692753.378,9272275.983,-3.9,12:04:11
692751.6924,9272276.569,-3.9,12:04:12
692749.5848,9272277.103,-3.9,12:04:13
692747.4773,9272277.691,-3.8,12:04:14
692745.7929,9272278.593,-3.8,12:04:15
692743.2654,9272279.71,-3.9,12:04:16
692742.0028,9272280.611,-3.9,12:04:17
692742.0028,9272280.611,-3.7,12:04:18
692736.1066,9272283.584,-3.7,12:04:19
692734.0005,9272284.541,-3.6,12:04:20
692732.3147,9272285.074,-3.6,12:04:21
692731.0503,9272285.448,-3.7,12:04:22
692728.9442,9272286.404,-3.7,12:04:23
692727.2605,9272287.518,-3.6,12:04:24
692725.1541,9272288.422,-3.6,12:04:25
692723.8885,9272288.426,-3.6,12:04:26
692723.8885,9272288.426,-3.6,12:04:27
692716.724,9272290.666,-3.6,12:04:28
692713.7746,9272291.784,-3.6,12:04:29
692711.2471,9272292.9,-3.6,12:04:30
692708.717,9272293.278,-3.6,12:04:31
692706.1882,9272294.025,-3.6,12:04:32
692704.0808,9272294.612,-3.4,12:04:33
692701.552,9272295.36,-3.4,12:04:34
692699.4451,9272296.105,-3.5,12:04:35
692693.5437,9272297.602,-3.5,12:04:36
692690.5923,9272298.14,-3.3,12:04:37
692687.6411,9272298.731,-3.3,12:04:38
692684.6891,9272299.11,-3.2,12:04:39
692681.7364,9272299.278,-3.2,12:04:40
692678.3613,9272299.29,-3.1,12:04:41
692675.4086,9272299.459,-3.1,12:04:42
692672.4561,9272299.68,-3.1,12:04:43
